"42"|"El @CanalCapital es de Bogota. No para uso político. @HOLLMANMORRIS @ClaraLopezObre @petrogustavo #RecuperemosBogotá https://t.co/2yAUpYqof7"
"43"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"44"|"#NoVoyANegarteMiVotoBogotá  http://t.co/pLwv5r5mRF #RecuperemosBogotá"
"45"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"46"|"RT @EnriquePenalosa: Encuesta Gallup: tendencia ascendente del apoyo que nos dan los ciudadanos. ¡Gracias!  #RecuperemosBogotá http://t.co/…"
"47"|"RT @EnriquePenalosa: Nuestro triunfo enviará un mensaje contundente a Bogotá y a Colombia de que no queremos más de lo mismo! #RecuperemosB…"
"48"|"RT @EnriquePenalosa: Si cada uno de ustedes convence a una persona más de apoyarnos, no habrá maquinaria que nos pueda ganar! #RecuperemosB…"
"49"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"50"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"51"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"52"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"53"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"54"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"55"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"56"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"57"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"58"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"59"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"60"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"61"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"62"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"63"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"64"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"65"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"66"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"67"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"68"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"69"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"70"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"71"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"72"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"73"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"74"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"75"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"76"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"77"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"78"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"79"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"80"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"81"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"82"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"83"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"84"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"85"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"86"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"87"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"88"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"89"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"90"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"91"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"92"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"93"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"94"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"95"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"96"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"97"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"98"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"99"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"100"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"101"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"102"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"103"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"104"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"105"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"106"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"107"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"108"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"109"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"110"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"111"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"112"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"113"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"114"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"115"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"116"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"117"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"118"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"119"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"120"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"121"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"122"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"123"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"124"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"125"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"126"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"127"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"128"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"129"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"130"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"131"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"132"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"133"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"134"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"135"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"136"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"137"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"138"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"139"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"140"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"141"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"142"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"143"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"144"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"145"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"146"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"147"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"148"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"149"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"150"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"151"|"El #SITP no funciona por la pésima gestión de la anterior y actual administración... http://t.co/SRTOpmNv6X"
"152"|"@EnriquePenalosa #RecuperemosBogota http://t.co/ISejiFhO6Y"
"153"|"Es apenas una pequeña muestra. #RecuperemosBogota  https://t.co/cKmfN9PCw6"
"154"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"155"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"156"|"RT @EnriquePenalosa: Si cada uno de ustedes convence a una persona más de apoyarnos, no habrá maquinaria que nos pueda ganar! #RecuperemosB…"
"157"|"RT @ColombiaDerecha: Ya sabes cual es el candidato del narcoserposamperismo liberal? #RecuperemosBogotá http://t.co/eBFwB1FUng"
"158"|"Votar por Clara López es como cuando las mujeres con el ojo morado vuelven con el novio que les pegaba y las estafó. #RecuperemosBogotá"
"159"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"160"|"RT @EnriquePenalosa: Nuestro triunfo enviará un mensaje contundente a Bogotá y a Colombia de que no queremos más de lo mismo! #RecuperemosB…"
"161"|"RT @ColombiaDerecha: Ya sabes cual es el candidato del narcoserposamperismo liberal? #RecuperemosBogotá http://t.co/csuMtkTIlN"
"162"|"RT @EnriquePenalosa: No más política en la Alcaldía. Voy solamente a trabajar duro, en equipo con los ciudadanos! #RecuperemosBogotá"
"163"|"RT @EnriquePenalosa: Encuesta Gallup: tendencia ascendente del apoyo que nos dan los ciudadanos. ¡Gracias!  #RecuperemosBogotá http://t.co/…"
"164"|"RT @EnriquePenalosa: Llegó la hora! Convence a un votante que todavía no nos apoya de hacerlo y ganaremos contundentemente!! RecuperemosBog…"
"165"|"RT @EnriquePenalosa: Nuestro triunfo enviará un mensaje contundente a Bogotá y a Colombia de que no queremos más de lo mismo! #RecuperemosB…"
"166"|"RT @EnriquePenalosa: Si cada uno de ustedes convence a una persona más de apoyarnos, no habrá maquinaria que nos pueda ganar! #RecuperemosB…"
"167"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"168"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"169"|"Ya sabes cual es el candidato del narcoserposamperismo liberal? #RecuperemosBogotá http://t.co/csuMtkTIlN"
"170"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"171"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"172"|"RT @Ejolayab: Sr @EnriquePenalosa me podría confirmar si los creadores de la frase #RecuperemosBogota es la familia Ríos, gracias."
"173"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"174"|"RT @EnriquePenalosa: Llegó la hora! Convence a un votante que todavía no nos apoya de hacerlo y ganaremos contundentemente!! RecuperemosBog…"
"175"|"RT @EnriquePenalosa: Nuestro triunfo enviará un mensaje contundente a Bogotá y a Colombia de que no queremos más de lo mismo! #RecuperemosB…"
"176"|"RT @EnriquePenalosa: Encuesta Gallup: tendencia ascendente del apoyo que nos dan los ciudadanos. ¡Gracias!  #RecuperemosBogotá http://t.co/…"
"177"|"RT @EnriquePenalosa: Si cada uno de ustedes convence a una persona más de apoyarnos, no habrá maquinaria que nos pueda ganar! #RecuperemosB…"
"178"|"Hágame el favor! Semejante mentiroso y le preguntó @HOLLMANMORRIS ¿Ud se hace llamar periodista? #RecuperemosBogota  https://t.co/fDiKrTdpy7"
"179"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"180"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"181"|"Ya sabes cual es el candidato del narcoserposamperismo liberal? #RecuperemosBogotá http://t.co/Y2a9bEJzZB"
"182"|"Preciosa la Biblioteca Virgilio Barco, junto con las de Tintal y Tunal obras de @EnriquePenalosa #RecuperemosBogota  https://t.co/ckYJJw39gt"
"183"|"RT @EnriquePenalosa: Nuestro triunfo enviará un mensaje contundente a Bogotá y a Colombia de que no queremos más de lo mismo! #RecuperemosB…"
"184"|"RT @EnriquePenalosa: Llegó la hora! Convence a un votante que todavía no nos apoya de hacerlo y ganaremos contundentemente!! RecuperemosBog…"
"185"|"RT @LEMENDEZA: @CLOPEZanalista @mcarvajal28 @RafaelPardo no se trata d defender a alguien sino ver quien puede arreglar este desastre #Recu…"
"186"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
"187"|"RT @EnriquePenalosa: Si cada uno de ustedes convence a una persona más de apoyarnos, no habrá maquinaria que nos pueda ganar! #RecuperemosB…"
"188"|"RT @EnriquePenalosa: No usaremos Canal Capital para hacer política, sino para ilustrar buenas iniciativas barrios y promover cultura ciudad…"
"189"|"RT @EnriquePenalosa: Publicidad entidades distritales no será para ensalzar obra gobierno, sino para promover cultura ciudadana #Recuperemo…"
